job_id,job_title,company,experience,min exp,max exp,salary,base salary,max salary,location,jobListed(days ago),postedIn,rating,reviews count,details,salary data provide by
579,Eucloid - Data Analyst (1-5 yrs),Eucloid Data Solutions Pvt Ltd,1-5 Yrs,1,5,,,,Gurgaon / Gurugram,30,iimjobs,4.8,7,"Data Analytics, Analytics, Data Visualization",
314,ESG Data Analyst - Newsroom,Institutional Shareholder Services Inc.,2-6 Yrs,2,6,,,,Mumbai,30,Naukri,3.8,84,"Data Analyst, Business analytics, Manager Quality Assurance",
277,ESG Data Analyst - ESG Newsroom,Institutional Shareholder Services Inc.,0-3 Yrs,0,3,,,,Mumbai,30,Naukri,3.8,84,"Data Analyst, Business analytics, Corporate governance",
134,ESG Data Analyst,Equinix,3-4 Yrs,3,4,,,,Bangalore / Bengaluru,2,Naukri,4.1,33,"Analytical skills, Excel, Software packages",
1483,Engineer/Data Analyst,mycitynagpur,5-8 Yrs,5,8,,,,Nagpur,1460,Naukri,,,Data Analyst,
721,Engineer - Data Analyst,BUSINESSNEXT,1-3 Yrs,1,3,,,,Mumbai,150,Naukri,3.3,346,"Data Analyst, Data migration, Machine learning",
745,Employee Data Analyst,Tableau Software,4-6 Yrs,4,6,,,,Hyderabad / Secunderabad,9,Naukri,1.1,2,"global operations, Root cause analysis, human capital",
354,EMOB Data Analyst,VOLVO ASSET FINANCE INDIA PRIVATE LIMITED,1-4 Yrs,1,4,,,,Bangalore / Bengaluru,10,Naukri,4,20,"Usage, Focus, Construction equipment",
1009,Email Marketing Executive,Giri Consultancy,1-5 Yrs,1,5, 1 - 7.5L/yr (AmbitionBox estimate),100000,750000,"Delhi/Ncr, Noida",10,Naukri,,,"email marketer, lead generation, email marketing executive",Estimated by Ambition Box
1114,Email Marketing Executive,Giri Consultancy,1-5 Yrs,1,5, 1 - 7.5L/yr (AmbitionBox estimate),100000,750000,"Noida, New Delhi",22,Naukri,,,"email marketer, Email Marketing, bulk mailer",Estimated by Ambition Box
429,Electrical / Energy Expert and Data Analyst,Siemens Limited,6-8 Yrs,6,8,,,,Thane,90,Naukri,4.2,4200,"Data Analyst, Project management, Agile",
1518,Editing and Proof Reading the written content,99Plus IT Solutions,2-5 Yrs,2,5,,,,Vadodara,1825,Naukri,,,"Proof reading, Data Analyst",
1541,Editing and Proof Reading the written content,99Plus IT Solutions,2-5 Yrs,2,5,,,,Vadodara,1825,Naukri,,,"Proof reading, Data Analyst",
93,EDA Data Analyst,NXP Semiconductors,6-8 Yrs,6,8,,,,Bangalore / Bengaluru,12,Naukri,3.9,208,"Automation, Data analysis, Linux",
796,eCommerce Data Analyst,Six10ventures,2-6 Yrs,2,6,,,,Home based,23,Naukri,5,1,"Communication Skills, Presentation Skills, Report Generation",
778,E - commerce Data Analyst,Shine Business Solutions,2-7 Yrs,2,7,,,,Cochin/Ernakulam/Kochi,270,Naukri,3.9,11,"Data Analyst, Python, Consulting",
